,area_type,total_sqft,bath,balcony,price,bhk
1475,Super built-up  Area,1246.0,2.0,1.0,68.0,2.0
1476,Super built-up  Area,1372.0,2.0,1.0,61.0,2.0
1479,Super built-up  Area,1300.0,2.0,3.0,55.0,2.0
1481,Plot  Area,810.0,4.0,1.0,50.0,4.0
1482,Super built-up  Area,1065.0,2.0,1.0,35.0,2.0
1483,Built-up  Area,700.0,2.0,0.0,27.0,2.0
1484,Carpet  Area,687.325,2.0,0.0,42.72,2.0
1485,Super built-up  Area,1050.0,2.0,1.0,45.0,2.0
1486,Super built-up  Area,1250.0,3.0,3.0,39.5,3.0
1487,Built-up  Area,865.0,2.0,0.0,42.0,2.0
1489,Built-up  Area,1756.0,3.0,3.0,100.0,3.0
1491,Super built-up  Area,628.0,1.0,1.0,24.0,1.0
1493,Super built-up  Area,1207.0,2.0,2.0,63.0,2.0
1494,Super built-up  Area,1765.0,3.0,1.0,125.0,3.0
1495,Built-up  Area,1130.0,2.0,1.0,32.64,2.0
1496,Super built-up  Area,1532.0,3.0,3.0,92.0,3.0
1497,Built-up  Area,1650.0,3.0,0.0,110.0,3.0
1498,Built-up  Area,1200.0,4.0,2.0,105.0,4.0
1499,Carpet  Area,804.1,2.0,1.0,69.09,2.0
1500,Super built-up  Area,1200.0,2.0,2.0,75.0,2.0
1501,Super built-up  Area,1197.0,2.0,2.0,50.0,2.0
1502,Built-up  Area,1200.0,2.0,2.0,66.0,2.0
1505,Super built-up  Area,2225.0,3.0,3.0,115.0,3.0
1506,Super built-up  Area,1180.0,2.0,2.0,48.0,2.0
1507,Super built-up  Area,1525.0,2.0,3.0,122.0,3.0
1508,Super built-up  Area,1100.0,2.0,2.0,31.5,2.0
1509,Super built-up  Area,1435.0,3.0,3.0,70.0,3.0
1510,Built-up  Area,400.0,1.0,1.0,14.0,1.0
1512,Super built-up  Area,1272.0,2.0,1.0,95.05,2.0
1513,Super built-up  Area,1205.0,2.0,1.0,39.0,2.0
1514,Built-up  Area,980.0,2.0,1.0,40.0,2.0
1515,Super built-up  Area,1225.0,2.0,2.0,46.86,2.0
1516,Built-up  Area,1541.0,3.0,1.0,72.0,3.0
1517,Super built-up  Area,1610.0,2.0,2.0,111.0,3.0
1518,Super built-up  Area,1694.0,2.0,2.0,125.0,2.0
1520,Super built-up  Area,950.0,2.0,1.0,39.0,2.0
1521,Super built-up  Area,1560.0,2.0,3.0,66.0,3.0
1522,Super built-up  Area,1201.0,2.0,2.0,27.0,2.0
1523,Plot  Area,1500.0,2.0,1.0,60.0,2.0
1524,Super built-up  Area,1785.0,3.0,2.0,75.0,3.0
1525,Built-up  Area,1258.0,2.0,1.0,63.53,2.0
1526,Super built-up  Area,910.0,2.0,2.0,42.0,2.0
1527,Super built-up  Area,1297.0,2.0,2.0,112.0,2.0
1528,Super built-up  Area,1291.0,2.0,3.0,49.0,2.0
1529,Built-up  Area,1070.0,2.0,2.0,42.0,2.0
1530,Super built-up  Area,1012.0,2.0,1.0,66.5,2.0
1531,Super built-up  Area,1260.0,2.0,3.0,57.6,2.0
1532,Super built-up  Area,1282.0,2.0,2.0,72.0,2.0
1533,Super built-up  Area,1843.0,3.0,2.0,92.15,3.0
1537,Super built-up  Area,1330.0,2.0,1.0,86.98,2.0
1538,Super built-up  Area,1400.0,2.0,1.0,73.0,3.0
1539,Built-up  Area,1192.0,2.0,1.0,71.0,2.0
1541,Super built-up  Area,1297.0,2.0,2.0,103.0,2.0
1542,Super built-up  Area,615.0,1.0,0.0,17.835,1.0
1543,Super built-up  Area,1490.0,3.0,2.0,100.0,3.0
1544,Super built-up  Area,1373.0,3.0,2.0,72.0,3.0
1545,Super built-up  Area,1035.0,2.0,1.0,41.39,2.0
1547,Super built-up  Area,1010.0,2.0,1.0,40.39,2.0
1548,Built-up  Area,1195.0,2.0,1.0,42.0,2.0
1549,Super built-up  Area,1750.0,3.0,2.0,95.0,3.0
1550,Super built-up  Area,1052.0,2.0,2.0,50.0,2.0
1551,Super built-up  Area,1180.0,2.0,2.0,58.0,2.0
1553,Built-up  Area,2100.0,3.0,2.0,73.0,3.0
1555,Super built-up  Area,1128.0,2.0,2.0,38.24,2.0
1557,Super built-up  Area,1120.0,2.0,2.0,33.6,2.0
1558,Built-up  Area,2424.0,3.0,2.0,90.0,3.0
1559,Built-up  Area,1300.0,2.0,1.0,60.0,2.0
1560,Super built-up  Area,1090.0,2.0,2.0,32.69,2.0
1563,Super built-up  Area,1330.0,2.0,2.0,46.55,3.0
1564,Super built-up  Area,1427.0,2.0,1.0,80.63,3.0
1565,Super built-up  Area,1294.0,2.0,2.0,48.0,3.0
1566,Built-up  Area,1580.0,3.0,2.0,75.0,3.0
1568,Plot  Area,1808.0,4.0,2.0,80.27,3.0
1572,Super built-up  Area,1310.0,2.0,3.0,50.0,3.0
1576,Super built-up  Area,2400.0,1.0,1.0,150.0,2.0
1577,Super built-up  Area,1290.0,2.0,3.0,100.0,2.0
1579,Super built-up  Area,1390.0,3.0,1.0,120.0,3.0
1580,Plot  Area,1200.0,4.0,2.0,72.0,4.0
1581,Built-up  Area,845.0,2.0,1.0,33.0,2.0
1582,Super built-up  Area,1537.0,3.0,3.0,120.0,3.0
1583,Super built-up  Area,1135.0,2.0,2.0,68.0,2.0
1584,Super built-up  Area,1512.0,3.0,2.0,75.77,3.0
1585,Super built-up  Area,900.0,2.0,1.0,55.0,2.0
1586,Super built-up  Area,1230.0,3.0,3.0,54.0,3.0
1587,Super built-up  Area,1378.0,2.0,3.0,42.33,3.0
1588,Super built-up  Area,1277.0,2.0,1.0,61.3,2.0
1591,Super built-up  Area,1210.0,2.0,2.0,62.0,2.0
1598,Plot  Area,1550.0,4.0,2.0,130.0,4.0
1600,Super built-up  Area,975.0,2.0,2.0,37.5,2.0
1602,Super built-up  Area,1690.0,3.0,1.0,125.0,3.0
1603,Super built-up  Area,1063.0,2.0,1.0,31.89,2.0
1606,Built-up  Area,1600.0,3.0,0.0,80.0,3.0
1607,Super built-up  Area,1250.0,3.0,1.0,39.5,3.0
1608,Super built-up  Area,520.0,1.0,0.0,19.5,1.0
1610,Built-up  Area,1390.0,3.0,2.0,68.0,3.0
1611,Super built-up  Area,1185.0,2.0,2.0,40.0,2.0
1612,Super built-up  Area,1219.0,2.0,2.0,48.0,2.0
1613,Super built-up  Area,1564.0,2.0,1.0,92.0,3.0
1615,Super built-up  Area,1100.0,2.0,2.0,37.1,2.0
1616,Built-up  Area,1300.0,2.0,0.0,60.0,3.0
1617,Plot  Area,1600.0,2.0,0.0,80.0,3.0
1618,Built-up  Area,1600.0,3.0,2.0,75.0,3.0
1619,Super built-up  Area,1482.0,2.0,1.0,92.0,3.0
1620,Plot  Area,1000.0,4.0,3.0,66.0,3.0
1621,Super built-up  Area,1200.0,2.0,3.0,53.0,2.0
1623,Super built-up  Area,1200.0,2.0,0.0,58.0,2.0
1625,Built-up  Area,2400.0,3.0,0.0,160.0,3.0
1626,Super built-up  Area,1469.0,3.0,1.0,89.0,3.0
1627,Super built-up  Area,551.0,1.0,1.0,30.0,1.0
1628,Super built-up  Area,1160.0,2.0,1.0,52.0,2.0
1629,Super built-up  Area,1205.0,2.0,1.0,78.5,2.0
1630,Built-up  Area,1550.0,2.0,3.0,52.0,3.0
1631,Super built-up  Area,1745.0,3.0,2.0,125.0,3.0
1632,Super built-up  Area,1028.0,2.0,1.0,42.0,2.0
1634,Super built-up  Area,1200.0,2.0,1.0,34.0,3.0
1637,Plot  Area,1200.0,3.0,1.0,72.0,2.0
1638,Super built-up  Area,1269.72,2.0,2.0,68.0,2.0
1639,Super built-up  Area,1266.0,2.0,2.0,59.0,2.0
1640,Super built-up  Area,1060.0,2.0,1.0,62.0,2.0
1641,Plot  Area,1168.0,3.0,0.0,70.0,3.0
1642,Super built-up  Area,1552.0,2.0,1.0,51.0,2.0
1643,Super built-up  Area,2038.5,3.0,0.0,120.0,3.0
1644,Super built-up  Area,500.0,1.0,1.0,17.0,1.0
1645,Super built-up  Area,1080.0,2.0,2.0,43.2,2.0
1647,Super built-up  Area,1300.0,2.0,2.0,65.0,2.0
1648,Built-up  Area,920.0,2.0,2.0,33.0,2.0
1650,Built-up  Area,1310.0,2.0,1.0,50.0,2.0
1651,Super built-up  Area,1650.0,2.0,1.0,75.0,3.0
1652,Super built-up  Area,1515.0,3.0,3.0,93.93,3.0
1653,Super built-up  Area,1157.0,2.0,1.0,53.8,2.0
1656,Super built-up  Area,2200.0,2.0,1.0,162.0,3.0
1657,Built-up  Area,1243.0,2.0,1.0,58.0,2.0
1658,Super built-up  Area,1530.0,2.0,2.0,74.39,3.0
1659,Super built-up  Area,2070.0,3.0,3.0,162.0,3.0
1660,Built-up  Area,1815.0,3.0,2.0,82.0,3.0
1663,Super built-up  Area,982.0,2.0,2.0,24.55,2.0
1664,Super built-up  Area,1232.0,2.0,2.0,89.0,2.0
1666,Super built-up  Area,654.0,1.0,1.0,38.4,1.0
1667,Built-up  Area,1181.0,2.0,0.0,55.0,2.0
1670,Super built-up  Area,1616.0,3.0,1.0,75.0,3.0
1673,Super built-up  Area,1306.0,3.0,2.0,54.65,3.0
1674,Super built-up  Area,1626.0,3.0,3.0,89.0,3.0
1676,Super built-up  Area,1585.0,3.0,2.0,88.0,3.0
1677,Super built-up  Area,1370.0,2.0,1.0,56.17,2.0
1679,Super built-up  Area,1495.0,2.0,2.0,90.0,2.0
1682,Plot  Area,1375.0,3.0,0.0,57.0,3.0
1684,Built-up  Area,1400.0,2.0,2.0,48.0,3.0
1688,Super built-up  Area,1150.0,2.0,2.0,46.0,2.0
1689,Super built-up  Area,1080.0,2.0,1.0,54.0,2.0
1690,Super built-up  Area,1645.0,3.0,2.0,100.0,3.0
1692,Built-up  Area,595.0,1.0,1.0,42.0,1.0
1693,Plot  Area,1200.0,3.0,1.0,125.0,3.0
1695,Built-up  Area,1410.0,2.0,3.0,67.0,2.0
1696,Built-up  Area,1090.0,2.0,1.0,31.48,2.0
1697,Plot  Area,540.0,1.0,0.0,30.0,1.0
1698,Super built-up  Area,1300.0,2.0,2.0,60.0,2.0
1699,Built-up  Area,1890.0,2.0,2.0,85.0,3.0
1700,Super built-up  Area,1254.0,2.0,1.0,53.0,2.0
1703,Super built-up  Area,1245.0,2.0,2.0,68.48,3.0
1704,Built-up  Area,1170.0,2.0,2.0,86.0,2.0
1705,Super built-up  Area,1193.0,2.0,1.0,86.0,2.0
1706,Super built-up  Area,850.0,2.0,1.0,25.4,2.0
1707,Super built-up  Area,1678.0,3.0,3.0,70.0,3.0
1708,Built-up  Area,1600.0,3.0,3.0,75.0,3.0
1709,Super built-up  Area,1750.0,3.0,2.0,84.0,3.0
1714,Plot  Area,1200.0,2.0,1.0,120.0,2.0
1715,Built-up  Area,1000.0,2.0,1.0,50.0,2.0
1719,Super built-up  Area,2422.0,4.0,2.0,160.0,4.0
1720,Built-up  Area,1100.0,2.0,1.0,50.0,2.0
1721,Built-up  Area,882.0,2.0,1.0,30.0,2.0
1722,Super built-up  Area,845.0,2.0,1.0,37.0,2.0
1723,Super built-up  Area,883.0,2.0,1.0,39.0,2.0
1725,Super built-up  Area,1595.0,3.0,3.0,88.0,3.0
1726,Built-up  Area,1280.0,2.0,0.0,85.0,2.0
1728,Super built-up  Area,920.0,2.0,0.0,35.0,2.0
1729,Super built-up  Area,1300.0,2.0,3.0,57.0,2.0
1731,Super built-up  Area,1757.0,3.0,2.0,132.0,3.0
1732,Super built-up  Area,600.0,1.0,1.0,16.5,1.0
1733,Built-up  Area,2400.0,3.0,2.0,142.0,4.0
1734,Super built-up  Area,1240.0,2.0,1.0,44.0,2.0
1736,Super built-up  Area,1330.0,2.0,1.0,93.36,2.0
1737,Super built-up  Area,1062.0,2.0,1.0,42.47,2.0
1738,Built-up  Area,1078.0,2.0,2.0,45.0,2.0
1739,Super built-up  Area,1460.0,2.0,2.0,72.0,3.0
1740,Plot  Area,1200.0,3.0,2.0,68.5,3.0
1741,Super built-up  Area,1200.0,1.0,1.0,48.0,1.0
1742,Super built-up  Area,912.0,2.0,1.0,39.0,3.0
1745,Plot  Area,2028.0,4.0,3.0,162.0,4.0
1746,Super built-up  Area,980.0,2.0,1.0,45.47,2.0
1747,Built-up  Area,1000.0,2.0,2.0,40.0,2.0
1748,Super built-up  Area,1050.0,2.0,1.0,62.0,2.0
1750,Super built-up  Area,1875.0,2.0,2.0,150.0,3.0
1751,Super built-up  Area,1065.0,2.0,1.0,42.6,2.0
1753,Super built-up  Area,1163.0,2.0,2.0,98.86,2.0
1754,Super built-up  Area,1098.0,2.0,1.0,72.0,2.0
1755,Built-up  Area,1725.0,2.0,2.0,100.0,3.0
1757,Super built-up  Area,1128.0,2.0,2.0,75.0,2.0
1759,Super built-up  Area,1705.0,3.0,1.0,74.16,3.0
1760,Super built-up  Area,1418.0,2.0,2.0,95.0,2.0
1761,Built-up  Area,1500.0,3.0,1.0,160.0,3.0
1764,Super built-up  Area,812.0,2.0,2.0,55.0,2.0
1766,Super built-up  Area,1280.0,2.0,2.0,40.0,2.0
1767,Super built-up  Area,1420.0,2.0,2.0,136.0,2.0
1777,Built-up  Area,840.0,2.0,2.0,27.0,2.0
1778,Built-up  Area,914.0,2.0,2.0,47.0,2.0
1779,Super built-up  Area,1482.0,2.0,2.0,83.73,3.0
1780,Super built-up  Area,1724.0,3.0,2.0,127.0,3.0
1781,Super built-up  Area,1670.0,3.0,3.0,91.86,3.0
1782,Super built-up  Area,1184.0,2.0,3.0,53.0,2.0
1783,Super built-up  Area,1200.0,2.0,1.0,55.0,2.0
1785,Super built-up  Area,927.0,2.0,2.0,55.0,2.0
1786,Super built-up  Area,1242.0,2.0,3.0,39.7,2.0
1787,Built-up  Area,1220.0,3.0,1.0,35.23,3.0
1788,Built-up  Area,1360.0,2.0,1.0,75.0,3.0
1790,Super built-up  Area,1180.0,2.0,2.0,72.0,2.0
1791,Super built-up  Area,1697.0,3.0,2.0,108.0,3.0
1792,Super built-up  Area,550.0,2.0,1.0,26.0,2.0
1793,Super built-up  Area,1225.0,2.0,1.0,57.0,2.0
1794,Super built-up  Area,1690.0,2.0,2.0,55.0,3.0
1797,Built-up  Area,1250.0,2.0,1.0,80.0,3.0
1798,Super built-up  Area,1050.0,1.0,1.0,44.0,1.0
1800,Super built-up  Area,1699.0,3.0,3.0,81.94,3.0
1801,Built-up  Area,1205.0,2.0,2.0,58.0,2.0
1802,Plot  Area,712.0,2.0,1.0,67.5,4.0
1803,Super built-up  Area,950.0,2.0,3.0,39.0,2.0
1804,Plot  Area,1200.0,2.0,0.0,70.0,2.0
1805,Super built-up  Area,1476.0,3.0,1.0,120.0,3.0
1806,Built-up  Area,1070.0,2.0,1.0,55.0,2.0
1808,Super built-up  Area,1296.0,2.0,1.0,75.0,2.0
1809,Built-up  Area,1800.0,1.0,1.0,128.0,2.0
1810,Super built-up  Area,1570.0,3.0,3.0,64.5,3.0
1811,Super built-up  Area,1300.0,2.0,3.0,110.0,2.0
1812,Built-up  Area,1550.0,2.0,2.0,65.0,4.0
1813,Super built-up  Area,770.0,1.0,1.0,40.0,2.0
1816,Super built-up  Area,1429.0,3.0,3.0,86.0,3.0
1817,Super built-up  Area,1167.0,2.0,2.0,39.98,3.0
1818,Super built-up  Area,1035.0,2.0,1.0,41.73,2.0
1819,Super built-up  Area,1188.0,2.0,2.0,38.0,3.0
1822,Super built-up  Area,884.0,2.0,2.0,36.0,1.0
1824,Super built-up  Area,1026.0,2.0,1.0,60.87,2.0
1827,Plot  Area,1200.0,2.0,1.0,125.0,2.0
1829,Super built-up  Area,975.0,2.0,1.0,58.0,2.0
1830,Plot  Area,675.0,3.0,2.0,72.5,3.0
1833,Super built-up  Area,1101.0,2.0,2.0,65.5,2.0
1834,Super built-up  Area,1700.0,3.0,3.0,135.0,3.0
1836,Super built-up  Area,1258.0,2.0,2.0,115.0,2.0
1841,Super built-up  Area,1494.0,2.0,2.0,94.55,3.0
1842,Super built-up  Area,1482.0,2.0,1.0,87.0,3.0
1843,Super built-up  Area,800.0,2.0,3.0,50.0,2.0
1844,Super built-up  Area,1185.0,2.0,2.0,47.39,2.0
1845,Super built-up  Area,1100.0,2.0,2.0,71.5,2.0
1846,Built-up  Area,1300.0,2.0,0.0,120.0,2.0
1848,Super built-up  Area,1758.0,3.0,2.0,65.0,3.0
1849,Super built-up  Area,1145.0,2.0,2.0,55.0,2.0
1850,Built-up  Area,1180.0,2.0,2.0,50.0,2.0
1851,Super built-up  Area,1260.0,2.0,2.0,58.0,2.0
1853,Built-up  Area,1190.0,2.0,2.0,55.0,2.0
1854,Super built-up  Area,1691.0,3.0,2.0,119.0,3.0
1861,Super built-up  Area,1140.0,2.0,1.0,50.66,2.0
1862,Super built-up  Area,1250.0,2.0,2.0,65.0,2.0
1863,Plot  Area,600.0,2.0,1.0,60.0,3.0
1865,Built-up  Area,800.0,2.0,2.0,28.0,2.0
1866,Super built-up  Area,1020.0,2.0,1.0,58.0,2.0
1867,Built-up  Area,2100.0,2.0,1.0,50.0,4.0
1868,Plot  Area,1350.0,2.0,1.0,80.0,2.0
1869,Super built-up  Area,925.0,2.0,1.0,40.0,2.0
1871,Built-up  Area,2000.0,3.0,1.0,100.0,3.0
1872,Built-up  Area,1510.0,2.0,1.0,75.0,3.0
1874,Super built-up  Area,1614.0,3.0,1.0,110.0,3.0
1876,Plot  Area,1200.0,2.0,0.0,95.0,2.0
1877,Plot  Area,900.0,2.0,0.0,55.0,2.0
1878,Built-up  Area,1632.0,3.0,0.0,145.0,4.0
1879,Super built-up  Area,1041.0,2.0,2.0,65.5,2.0
1882,Super built-up  Area,1530.0,3.0,2.0,74.5,3.0
1883,Super built-up  Area,1450.0,2.0,2.0,135.0,3.0
1886,Super built-up  Area,1508.0,2.0,1.0,110.0,3.0
1888,Super built-up  Area,1188.0,2.0,3.0,73.0,2.0
1890,Super built-up  Area,1174.0,2.0,1.0,76.0,2.0
1891,Super built-up  Area,1350.0,3.0,1.0,58.99,3.0
1893,Super built-up  Area,1072.0,2.0,1.0,25.0,2.0
1895,Super built-up  Area,726.0,2.0,1.0,31.0,2.0
1896,Super built-up  Area,1345.0,2.0,2.0,106.0,2.0
1897,Super built-up  Area,1200.0,2.0,2.0,45.0,2.0
1898,Built-up  Area,980.0,2.0,0.0,37.0,2.0
1899,Super built-up  Area,1050.0,2.0,1.0,77.0,2.0
1900,Super built-up  Area,993.0,2.0,1.0,39.71,2.0
1901,Super built-up  Area,1300.0,2.0,2.0,52.0,3.0
1902,Super built-up  Area,1743.0,3.0,2.0,85.0,3.0
1903,Plot  Area,1204.0,4.0,1.0,125.0,4.0
1904,Plot  Area,1200.0,2.0,0.0,67.0,2.0
1905,Super built-up  Area,1480.0,3.0,2.0,90.0,3.0
1906,Super built-up  Area,950.0,2.0,2.0,32.5,2.0
1907,Built-up  Area,640.0,1.0,0.0,55.0,1.0
1908,Super built-up  Area,972.0,2.0,1.0,44.0,2.0
1909,Super built-up  Area,1840.0,3.0,3.0,98.0,3.0
1910,Super built-up  Area,1128.0,2.0,1.0,64.0,2.0
1911,Plot  Area,680.0,2.0,0.0,42.0,2.0
1912,Plot  Area,2400.0,2.0,1.0,95.0,2.0
1913,Built-up  Area,1045.0,2.0,2.0,42.0,2.0
1914,Built-up  Area,955.0,2.0,3.0,53.55,2.0
1915,Super built-up  Area,1360.0,2.0,2.0,54.39,3.0
1916,Super built-up  Area,1150.0,2.0,2.0,63.0,2.0
1918,Super built-up  Area,1115.0,2.0,2.0,56.87,2.0
1919,Super built-up  Area,920.0,2.0,2.0,46.0,2.0
1920,Super built-up  Area,1030.0,2.0,1.0,41.0,2.0
1921,Super built-up  Area,1564.0,3.0,1.0,101.0,3.0
1922,Super built-up  Area,1045.0,2.0,1.0,45.0,2.0
1923,Plot  Area,1200.0,4.0,1.0,83.0,4.0
1924,Built-up  Area,1277.0,2.0,2.0,55.0,2.0
1926,Super built-up  Area,1846.0,3.0,2.0,140.0,3.0
1927,Built-up  Area,1100.0,2.0,0.0,106.0,2.0
1929,Plot  Area,1200.0,3.0,0.0,70.0,2.0
1932,Built-up  Area,1068.0,2.0,1.0,40.05,2.0
1933,Super built-up  Area,1135.0,2.0,2.0,58.0,2.0
1934,Super built-up  Area,1925.0,3.0,2.0,120.0,3.0
1935,Super built-up  Area,1615.0,3.0,2.0,60.0,3.0
1936,Super built-up  Area,650.0,1.0,1.0,26.0,1.0
1938,Super built-up  Area,1150.0,2.0,3.0,42.0,2.0
1940,Super built-up  Area,1410.0,2.0,2.0,45.12,3.0
1943,Super built-up  Area,1354.0,3.0,1.0,90.0,3.0
1944,Plot  Area,1050.0,2.0,0.0,110.0,2.0
1945,Built-up  Area,600.0,1.0,1.0,28.0,1.0
1946,Plot  Area,1320.0,2.0,1.0,110.0,4.0
1947,Super built-up  Area,1600.0,3.0,2.0,88.0,3.0
1949,Super built-up  Area,1000.0,2.0,1.0,36.0,2.0
1950,Super built-up  Area,1130.0,3.0,1.0,38.0,3.0
1951,Super built-up  Area,1238.0,2.0,1.0,67.0,2.0
1954,Super built-up  Area,1364.0,2.0,3.0,46.38,3.0
1955,Built-up  Area,900.0,2.0,1.0,45.0,2.0
1956,Super built-up  Area,1745.0,3.0,2.0,104.0,3.0
1957,Super built-up  Area,1200.0,2.0,1.0,53.33,2.0
1958,Super built-up  Area,1020.0,2.0,1.0,42.83,2.0
1959,Super built-up  Area,1650.0,3.0,2.0,118.0,3.0
1960,Super built-up  Area,1550.0,2.0,3.0,70.0,3.0
1961,Super built-up  Area,1440.0,2.0,2.0,60.0,2.0
1962,Super built-up  Area,1329.0,2.0,2.0,45.95,3.0
1963,Super built-up  Area,916.0,2.0,1.0,42.0,2.0
1964,Super built-up  Area,688.0,1.0,2.0,50.0,1.0
1965,Super built-up  Area,1358.0,3.0,3.0,50.0,3.0
1966,Super built-up  Area,1331.0,2.0,1.0,107.0,2.0
1967,Super built-up  Area,686.0,1.0,1.0,62.5,1.0
1968,Super built-up  Area,1050.0,2.0,2.0,50.0,2.0
1969,Super built-up  Area,2106.0,3.0,2.0,126.0,3.0
1970,Super built-up  Area,1718.0,3.0,2.0,90.2,3.0
1971,Super built-up  Area,1530.0,3.0,2.0,57.0,3.0
1972,Super built-up  Area,1206.0,2.0,2.0,56.0,2.0
1973,Built-up  Area,1075.0,2.0,3.0,52.0,2.0
1974,Plot  Area,1200.0,3.0,1.0,95.0,3.0
1975,Super built-up  Area,1936.0,2.0,2.0,54.21,3.0
1976,Super built-up  Area,2172.65,3.0,3.0,120.0,4.0
1977,Super built-up  Area,1100.0,2.0,2.0,75.0,3.0
1980,Plot  Area,800.0,2.0,1.0,80.0,3.0
1981,Super built-up  Area,1117.0,2.0,3.0,29.99,2.0
1982,Built-up  Area,1685.0,2.0,1.0,110.0,3.0
1983,Super built-up  Area,740.0,2.0,1.0,37.0,2.0
1985,Plot  Area,1500.0,2.0,2.0,93.0,4.0
1986,Super built-up  Area,1800.0,3.0,2.0,115.0,3.0
1987,Super built-up  Area,1700.0,3.0,2.0,130.0,3.0
1988,Built-up  Area,850.0,2.0,2.0,37.93,2.0
1989,Super built-up  Area,1891.0,3.0,1.0,139.0,3.0
1990,Built-up  Area,1400.0,1.0,1.0,80.0,2.0
1991,Super built-up  Area,1172.0,2.0,2.0,82.0,2.0
1992,Super built-up  Area,1400.0,2.0,2.0,40.43,3.0
1993,Built-up  Area,896.0,2.0,1.0,43.75,2.0
1994,Super built-up  Area,1180.0,2.0,2.0,65.0,2.0
1996,Built-up  Area,850.0,2.0,1.0,33.0,2.0
1997,Super built-up  Area,530.0,1.0,1.0,18.0,1.0
1998,Super built-up  Area,1550.0,3.0,3.0,110.0,3.0
1999,Super built-up  Area,1699.0,3.0,3.0,97.0,3.0
2000,Super built-up  Area,2025.0,4.0,3.0,109.0,4.0
2001,Super built-up  Area,500.0,2.0,2.0,14.0,1.0
2002,Built-up  Area,500.0,1.0,0.0,20.0,1.0
2003,Built-up  Area,1146.0,2.0,1.0,38.5,2.0
2005,Super built-up  Area,1455.0,2.0,1.0,145.0,2.0
2006,Plot  Area,800.0,1.0,0.0,50.0,2.0
2007,Super built-up  Area,765.0,2.0,2.0,30.0,1.0
2008,Super built-up  Area,1521.0,3.0,1.0,94.99,3.0
2009,Super built-up  Area,1600.0,2.0,2.0,55.0,3.0
2012,Super built-up  Area,1765.0,3.0,3.0,105.0,3.0
2013,Super built-up  Area,1980.0,3.0,2.0,88.0,3.0
2014,Built-up  Area,1900.0,3.0,1.0,135.0,3.0
2015,Super built-up  Area,1265.0,2.0,3.0,70.0,2.0
2016,Super built-up  Area,1034.0,2.0,3.0,40.0,2.0
2017,Built-up  Area,1012.0,2.0,1.0,59.0,2.0
2020,Super built-up  Area,1270.0,2.0,2.0,70.0,3.0
2022,Super built-up  Area,2045.0,4.0,3.0,154.0,3.0
2023,Super built-up  Area,1490.0,2.0,2.0,98.0,3.0
2025,Super built-up  Area,883.0,2.0,1.0,40.0,2.0
2026,Super built-up  Area,671.0,1.0,1.0,36.85,1.0
2027,Super built-up  Area,1156.0,2.0,2.0,32.0,2.0
2028,Super built-up  Area,2017.0,3.0,2.0,125.0,3.0
2030,Super built-up  Area,1635.0,3.0,1.0,62.0,3.0
2032,Super built-up  Area,1296.0,2.0,1.0,89.0,2.0
2034,Super built-up  Area,1139.0,2.0,2.0,62.0,2.0
2035,Super built-up  Area,1230.0,3.0,2.0,47.0,2.0
2036,Super built-up  Area,581.91,2.0,1.0,25.0,1.0
2037,Super built-up  Area,1245.0,2.0,1.0,86.28,2.0
2038,Plot  Area,1158.0,2.0,2.0,85.0,3.0
2040,Super built-up  Area,550.0,1.0,1.0,15.0,2.0
2041,Super built-up  Area,360.0,1.0,1.0,26.0,1.0
2042,Super built-up  Area,1350.0,3.0,1.0,55.0,3.0
2043,Built-up  Area,1670.0,3.0,2.0,120.0,3.0
2045,Super built-up  Area,1307.0,2.0,2.0,51.6,2.0
2046,Built-up  Area,1050.0,2.0,1.0,57.0,3.0
2048,Super built-up  Area,1210.0,2.0,1.0,58.0,3.0
2049,Built-up  Area,1025.0,2.0,1.0,29.6,2.0
2051,Super built-up  Area,1343.0,2.0,2.0,56.41,3.0
2052,Super built-up  Area,1560.0,3.0,2.0,85.0,3.0
2053,Super built-up  Area,925.0,2.0,2.0,51.0,2.0
2054,Super built-up  Area,1420.0,2.0,2.0,75.0,3.0
2055,Built-up  Area,1415.0,2.0,3.0,110.0,2.0
2056,Super built-up  Area,1210.0,2.0,2.0,60.0,2.0
2057,Super built-up  Area,1852.0,3.0,2.0,160.0,3.0
2058,Super built-up  Area,1250.0,3.0,2.0,50.0,3.0
2059,Super built-up  Area,1100.0,2.0,1.0,65.0,2.0
2060,Super built-up  Area,1150.0,2.0,1.0,40.25,2.0
2061,Super built-up  Area,1100.0,2.0,1.0,53.35,2.0
2062,Plot  Area,1350.0,1.0,0.0,100.0,2.0
2063,Super built-up  Area,1546.0,3.0,2.0,99.0,3.0
2064,Super built-up  Area,1424.0,2.0,2.0,90.0,2.0
2065,Built-up  Area,1398.0,3.0,1.0,68.0,3.0
2067,Plot  Area,1200.0,4.0,0.0,120.0,4.0
2068,Super built-up  Area,1476.0,3.0,2.0,105.0,3.0
2070,Super built-up  Area,1322.0,2.0,2.0,58.82,3.0
2071,Plot  Area,432.0,2.0,1.0,40.0,2.0
2072,Built-up  Area,1100.0,2.0,2.0,55.0,2.0
2074,Built-up  Area,1285.0,2.0,2.0,68.0,3.0
2075,Built-up  Area,1150.0,2.0,2.0,80.0,2.0
2076,Super built-up  Area,1430.0,2.0,2.0,56.0,3.0
2077,Super built-up  Area,1350.0,2.0,2.0,62.0,3.0
2079,Built-up  Area,1185.0,2.0,2.0,65.0,2.0
